"phantom_size","density","insert_sizes","ground_truth_mass_hd","predicted_mass_hd","ground_truth_mass_md","predicted_mass_md","ground_truth_mass_ld","predicted_mass_ld"
"small","15_18_22","large",12.900164833803089,1.1752833302797776,10.426160619101125,0.8473127871575311,9.189158511750145,4.448407069489361
"small","15_18_22","medium",4.644059340169111,1.5025244064833057,3.753417822876405,1.3905791992579957,3.3080970642300525,1.7004974311799343
"small","15_18_22","small",0.5160065933521236,0.20102766101997233,0.4170464247640451,0.13809017707415233,0.3675663404700058,-45.6661337024017
"small","26_29_36","large",6.3617251235193315,4.4504278653731975,5.12472301616835,5.633550268106472,4.594579255875073,7.106772509498095
"small","26_29_36","medium",2.2902210444669593,0.416460400715209,1.8449002858206058,1.6312160769868163,1.6540485321150262,1.7127520504583413
"small","26_29_36","small",0.25446900494077324,0.6008259753423744,0.204988920646734,-13.789777118572125,0.1837831702350029,0.37670097229366684
"small","52_59_73","large",3.8877209088173688,8.128195773153243,3.1808625617596658,9.161443837118783,2.650718801466388,13.81850204078505
"small","52_59_73","medium",1.3995795271742528,3.500126215530649,1.1451105222334796,-1.0805029517787803,0.9542587685278996,4.924923432815648
"small","52_59_73","small",0.15550883635269477,-3.6794168505264833,0.12723450247038662,-0.07994768934656804,0.10602875205865553,-1.0826055743786882
"medium","15_18_22","large",12.900164833803089,2.3935757124113834,10.426160619101125,4.078385061148456,9.189158511750145,5.5616339826572725
"medium","15_18_22","medium",4.644059340169111,1.4327408930117143,3.753417822876405,1.267276547236128,3.3080970642300525,1.9859744708786342
"medium","15_18_22","small",0.5160065933521236,0.18762468730289558,0.4170464247640451,-0.7494750778056716,0.3675663404700058,-0.034002646204479625
"medium","26_29_36","large",6.3617251235193315,4.940148706474464,5.12472301616835,4.970526688970101,4.594579255875073,7.295599655267309
"medium","26_29_36","medium",2.2902210444669593,-8.08622872810447,1.8449002858206058,2.167904554801206,1.6540485321150262,2.032718331474397
"medium","26_29_36","small",0.25446900494077324,-1.3103957006824747,0.204988920646734,0.22503492933005026,0.1837831702350029,0.42850414872261683
"medium","52_59_73","large",3.8877209088173688,9.993347620849276,3.1808625617596658,2.9966254270928125,2.650718801466388,13.505405901061463
"medium","52_59_73","medium",1.3995795271742528,3.9129998227570124,1.1451105222334796,4.401969019040144,0.9542587685278996,4.2366235259716225
"medium","52_59_73","small",0.15550883635269477,-290.97919650644167,0.12723450247038662,0.5904476082365165,0.10602875205865553,0.6911369811257029
"large","15_18_22","large",12.900164833803089,-5.328757173408832,10.426160619101125,-0.08853373919152636,9.189158511750145,-0.34394427117935983
"large","15_18_22","medium",4.644059340169111,-75.96166418154795,3.753417822876405,1.9728482894483856,3.3080970642300525,0.9000562794789486
"large","15_18_22","small",0.5160065933521236,-31.449972986928522,0.4170464247640451,-5.826993430656905,0.3675663404700058,74.16312393817165
"large","26_29_36","large",6.3617251235193315,6.073776990756829,5.12472301616835,6.251723373667748,4.594579255875073,7.349387610548781
"large","26_29_36","medium",2.2902210444669593,2.7979490154701563,1.8449002858206058,1.5804016297686425,1.6540485321150262,1.122824632349011
"large","26_29_36","small",0.25446900494077324,-1.3756225635664283,0.204988920646734,-0.03595364473397062,0.1837831702350029,-0.7147117347746592
"large","52_59_73","large",3.8877209088173688,9.54216601340412,3.1808625617596658,11.812158200518246,2.650718801466388,5.459955848867928
"large","52_59_73","medium",1.3995795271742528,3.089090979441237,1.1451105222334796,3.99886525392049,0.9542587685278996,4.449297838714005
"large","52_59_73","small",0.15550883635269477,0.5978310696181238,0.12723450247038662,-0.09321612601230492,0.10602875205865553,0.21169571243782576
