phantom_size,density,insert_sizes,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld,bkg_mass
Small,Density1,Large,129.53179209832416,129.29836737772933,72.62969516017904,73.43432985347117,26.683902601428304,28.62187024660868,30.59687844336049
Small,Density1,Medium,46.63144515539669,47.30614583543265,26.146690257664453,24.848783774552096,9.606204936514189,11.09907654515702,0.018859790149604108
Small,Density1,Small,5.181271683932966,5.6634210406407774,2.9051878064071612,2.512238288030729,1.0673561040571322,1.0625632422905467,0.43973429540112247
Small,Density2,Large,118.22205854540091,119.10636554286683,65.38439710283757,66.77315648767473,15.904312808798327,18.318351376441893,29.07355212140085
Small,Density2,Medium,42.55994107634432,42.85349588379832,23.538382957021525,23.553446978482253,5.725552611167398,6.931356444083735,-2.8480693322993806
Small,Density2,Small,4.728882341816036,5.1325971643212505,2.615375884113503,2.3471362935488713,0.6361725123519331,0.3949051818691435,-1.0634244607703593
Small,Density3,Large,97.54645189396308,99.24776256272067,39.23063826170254,41.21309526492481,9.189158511750145,11.79065878588152,30.69381012063691
Small,Density3,Medium,35.11672268182671,35.21715735752888,14.123029774212917,12.495968591888413,3.3080970642300525,2.339575482341014,-1.4464991980588562
Small,Density3,Small,3.901858075758523,5.0473072461582085,1.5692255304681018,2.0494622297619842,0.3675663404700058,0.37053551943342317,-0.49631746528325876
Medium,Density1,Large,129.53179209832416,127.9886536897938,72.62969516017904,73.46902418157615,26.683902601428304,27.961453621092996,32.470377851001146
Medium,Density1,Medium,46.63144515539669,46.81576897205639,26.146690257664453,26.569589977044615,9.606204936514189,11.18499720796665,1.20320597152712
Medium,Density1,Small,5.181271683932966,6.800453000512605,2.9051878064071612,3.9466654561849093,1.0673561040571322,1.9342441353040554,1.4131201793989125
Medium,Density2,Large,118.22205854540091,116.69542858684626,65.38439710283757,65.27205861716025,15.904312808798327,18.11457900366394,31.48397437136294
Medium,Density2,Medium,42.55994107634432,42.63659274202779,23.538382957021525,24.399693743822162,5.725552611167398,7.167061398593011,0.5504787687483301
Medium,Density2,Small,4.728882341816036,5.464025072298939,2.615375884113503,2.3106979160946177,0.6361725123519331,-0.5470329897654913,1.0958930268310152
Medium,Density3,Large,97.54645189396308,97.45771318984143,39.23063826170254,39.170383882642774,9.189158511750145,11.60054008741315,31.65979410661933
Medium,Density3,Medium,35.11672268182671,35.292320330103934,14.123029774212917,13.835153371614716,3.3080970642300525,2.2474708791471474,1.1148443751401436
Medium,Density3,Small,3.901858075758523,4.239153107521238,1.5692255304681018,1.4351392538946806,0.3675663404700058,1.2091270011199986,0.8420706429993694
Large,Density1,Large,129.53179209832416,124.12126813587916,72.62969516017904,71.95309679070056,26.683902601428304,29.515748355641673,31.1446811701843
Large,Density1,Medium,46.63144515539669,46.34455125109132,26.146690257664453,26.10180768011014,9.606204936514189,11.024423513816108,-1.6105037526824086
