phantom_size,density,insert_sizes,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld,bkg_mass
Medium1,Density1,Small,351.500544,154.31731200000002,31.435008000000003,5.181271683932966,5.375584922661061,2.9051878064071612,5.375584922661061,1.0673561040571322,0.0,0
Medium1,Density2,Large,0.0,0.0,0.0,129.53179209832416,66.94878463534953,72.62969516017904,11.545549421835112,26.683902601428304,0.0,0
Medium1,Density2,Medium,38.579328000000004,0.0,0.0,46.63144515539669,23.509522751163843,26.146690257664453,23.509522751163843,9.606204936514189,0.0,0
Medium1,Density2,Small,302.919168,125.74003200000001,31.435008000000003,5.181271683932966,3.1247682835260555,2.9051878064071612,3.1247682835260555,1.0673561040571322,0.0,0
Medium1,Density3,Large,0.0,0.0,0.0,129.53179209832416,34.50767893077038,72.62969516017904,0.0,26.683902601428304,0.0,0
Medium1,Density3,Medium,0.0,2.857728,0.0,46.63144515539669,12.535953446463434,26.146690257664453,12.535953446463434,9.606204936514189,0.0,0
Medium1,Density3,Small,277.199616,111.451392,8.573184,5.181271683932966,1.4942114431596338,2.9051878064071612,1.4942114431596338,1.0673561040571322,0.0,0
Large1,Density1,Large,0.0,2.857728,0.0,129.53179209832416,128.24290433999101,72.62969516017904,17.643317915602946,26.683902601428304,0.0,0
Large1,Density1,Medium,118.59571199999999,40.008192,0.0,46.63144515539669,47.06933683736298,26.146690257664453,47.06933683736298,9.606204936514189,0.6414939180057067,0
Large1,Density1,Small,354.358272,162.890496,42.865919999999996,5.181271683932966,6.364647845021777,2.9051878064071612,6.364647845021777,1.0673561040571322,0.0,0
Large1,Density2,Large,2.857728,0.0,0.0,129.53179209832416,64.99316864394054,72.62969516017904,17.172096089073865,26.683902601428304,0.9320660759873856,0
Large1,Density2,Medium,15.717504000000002,0.0,0.0,46.63144515539669,23.749803574110228,26.146690257664453,23.749803574110228,9.606204936514189,0.0,0
Large1,Density2,Small,311.492352,137.170944,31.435008000000003,5.181271683932966,3.1314737948640943,2.9051878064071612,3.1314737948640943,1.0673561040571322,0.0,0
Large1,Density3,Large,0.0,4.286592,0.0,129.53179209832416,33.43367953146119,72.62969516017904,3.074700465535366,26.683902601428304,0.0,0
Large1,Density3,Medium,10.716479999999999,0.0,0.0,46.63144515539669,12.539306202132455,26.146690257664453,12.539306202132455,9.606204936514189,0.9566529508935275,0
Large1,Density3,Small,280.057344,125.74003200000001,7.1443200000000004,5.181271683932966,0.9823574110226765,2.9051878064071612,0.9823574110226765,1.0673561040571322,0.0,0
